CODE;LEGENDA
3.00.80.02.00.20.4;Programação linear, não-linear, mista e dinâmica
3.00.80.02.00.30.2;Séries temporais
3.00.80.02.00.40.0;Teoria dos grafos
3.00.80.02.00.50.9;Teoria dos jogos
3.00.80.03.00.00.4;Engenharia do produto
3.00.80.03.00.10.2;Ergonomia
3.00.80.03.00.20.0;Metodologia de projeto do produto
3.00.80.03.00.30.9;Processos de trabalho
3.00.80.03.00.40.7;Gerência do projeto e do produto
3.00.80.03.00.50.5;Desenvolvimento de produto
3.00.80.04.00.00.0;Engenharia econômica
3.00.80.04.00.10.9;Estudo de mercado
3.00.80.04.00.20.7;Localização industrial
3.00.80.04.00.30.5;Análise de custos
3.00.80.04.00.40.3;Economia de tecnologia
3.00.80.04.00.50.1;Vida econômica dos equipamentos
3.00.80.04.00.60.0;Avaliação de projetos
3.00.90.00.00.00.0;Engenharia nuclear
3.00.90.01.00.00.6;Aplicações de radioisótopos
3.00.90.01.00.10.4;Produção de radioisótopos
3.00.90.01.00.20.2;Aplicações industriais de radioisótopos
3.00.90.01.00.30.0;Instrumentação para medida e controle de radiação
3.00.90.02.00.00.2;Fusão controlada
3.00.90.02.00.10.0;Processos industriais da fusão controlada
3.00.90.02.00.20.9;Problemas tecnológicos da fusão controlada
3.00.90.03.00.00.9;Combustível nuclear
3.00.90.03.00.10.7;Extração de combustível nuclear
3.00.90.03.00.20.5;Conversão, enriquecimento e fabricação de combustível nuclear
3.00.90.03.00.30.3;Reprocessamento de combustível nuclear
3.00.90.03.00.40.1;Rejeitos de combustível nuclear
3.00.90.04.00.00.5;Tecnologia dos reatores
3.00.90.04.00.10.3;Núcleo do reator
3.00.90.04.00.20.1;Materiais nucleares e blindagem de reatores
3.00.90.04.00.30.0;Transferência de calor em reatores
3.00.90.04.00.40.8;Geração e integração com sistemas elétricos em reatores
3.00.90.04.00.50.6;Instrumentação para operação e controle de reatores
3.00.90.04.00.60.4;Segurança, localização e licenciamento de reatores
3.00.90.04.00.70.2;Aspectos econômicos de reatores
3.01.00.00.00.00.2;Engenharia de transportes
3.01.00.01.00.00.9;Planejamento de transportes
3.01.00.01.00.10.7;Planejamento e organização do sistema de transporte
3.01.00.01.00.20.5;Economia dos transportes
3.01.00.02.00.00.5;Veículos e equipamentos de controle
3.01.00.02.00.10.3;Vias de transporte
3.01.00.02.00.20.1;Veículos de transportes
3.01.00.02.00.30.0;Estação de transporte
3.01.00.02.00.40.8;Equipamentos auxiliares e controles
3.01.00.03.00.00.1;Operações de transportes
3.01.00.03.00.10.0;Engenharia de tráfego
3.01.00.03.00.20.8;Capacidade de vias de transporte
3.01.00.03.00.30.6;Operação de sistemas de transporte
3.01.10.00.00.00.7;Engenharia naval e oceânica
3.01.10.01.00.00.3;Hidrodinâmica de navios e sistemas oceânicos
3.01.10.01.00.10.1;Resistência hidrodinâmica
3.01.10.01.00.20.0;Propulsão de navios
3.01.10.02.00.00.0;Estruturas navais e oceânicas
3.01.10.02.00.10.8;Análise teórica e experimental de estrutura
3.01.10.02.00.20.6;Dinâmica estrutural naval e oceânica
3.01.10.02.00.30.4;Síntese estrutural naval e oceânica
3.01.10.03.00.00.6;Máquinas marítimas
3.01.10.03.00.10.4;Análise de sistemas propulsores
3.01.10.03.00.20.2;Controle e automação de sistemas propulsores
3.01.10.03.00.30.0;Equipamentos auxiliares do sistema propulsivo
3.01.10.03.00.40.9;Motor de propulsão
3.01.10.04.00.00.2;Projeto de navios e de sistemas oceânicos
3.01.10.04.00.10.0;Projetos de navios
3.01.10.04.00.20.9;Projetos de sistemas oceânicos fixos e semi-fixos
3.01.10.04.00.30.7;Projetos de embarcações não-convencionais
3.01.10.05.00.00.9;Tecnologia de construção naval e de sistemas oceânicas
3.01.10.05.00.10.7;Métodos de fabricação de navios e sistemas oceânicos
3.01.10.05.00.20.5;Soldagem de estruturas navais e oceânicos
3.01.10.05.00.30.3;Custos de construção naval
3.01.10.05.00.40.1;Normatização e certificação de qualidade de navios
3.01.20.00.00.00.1;Engenharia aeroespacial
3.01.20.01.00.00.8;Aerodinâmica
3.01.20.01.00.10.6;Aerodinâmica de aeronaves espaciais
3.01.20.01.00.20.4;Aerodinâmica dos processos geofísicos e interplanetários
3.01.20.02.00.00.4;Dinâmica de vôo
3.01.20.02.00.10.2;Trajetórias e órbitas
3.01.20.02.00.20.0;Estabilidade e controle
3.01.20.03.00.00.0;Estruturas aeroespaciais
3.01.20.03.00.10.9;Aeroelasticidade
3.01.20.03.00.20.7;Fadiga
3.01.20.03.00.30.5;Projeto de estruturas aeroespaciais
3.01.20.04.00.00.7;Materiais e processos para engenharia aeronáutica e aeroespacial
3.01.20.05.00.00.3;Propulsão aeroespacial
3.01.20.05.00.10.1;Combustão e escoamento com reações químicas
3.01.20.05.00.20.0;Propulsão de foguetes
3.01.20.05.00.30.8;Máquinas de fluxo
3.01.20.05.00.40.6;Motores alternativos
3.01.20.06.00.00.0;Sistemas aeroespaciais
3.01.20.06.00.10.8;Aviões
3.01.20.06.00.20.6;Foguetes
3.01.20.06.00.30.4;Helicópteros
3.01.20.06.00.40.2;Hovercraft
3.01.20.06.00.50.0;Satélites e outros dispositivos aeroespaciais
3.01.20.06.00.60.9;Normatização e certificação de qualidade de aeronaves e componentes
3.01.20.06.00.70.7;Manutenção de sistemas aeroespaciais
3.01.30.00.00.00.6;Engenharia biomédica
3.01.30.01.00.00.2;Bioengenharia
3.01.30.01.00.10.0;Processamento de sinais biológicos
3.01.30.01.00.20.9;Modelagem de fenômenos biológicos
3.01.30.01.00.30.7;Modelagem de sistemas biológicos
3.01.30.02.00.00.9;Engenharia médica
3.01.30.02.00.10.7;Biomateriais e materiais biocompatíveis
3.01.30.02.00.20.5;Transdutores para aplicações biomédicas
3.01.30.02.00.30.3;Instrumentação odontológica e médico-hospitalar
3.01.30.02.00.40.1;Tecnologia de próteses
4.00.00.00.00.00.1;Ciências da saúde
4.00.10.00.00.00.6;Medicina
4.00.10.01.00.00.2;Clínica médica
4.00.10.01.00.10.0;Angiologia
4.00.10.01.00.20.9;Dermatologia
4.00.10.01.00.30.7;Alergologia e imunologia clínica
4.00.10.01.00.40.5;Cancerologia
4.00.10.01.00.50.3;Hematologia
4.00.10.01.00.60.1;Endocrinologia
4.00.10.01.00.70.0;Neurologia
4.00.10.01.00.80.8;Pediatria
4.00.10.01.00.90.6;Doenças infecciosas e parasitárias
4.00.10.01.01.00.0;Cardiologia
4.00.10.01.01.10.8;Gastroenterologia
4.00.10.01.01.20.6;Pneumologia
4.00.10.01.01.30.4;Nefrologia
4.00.10.01.01.40.2;Reumatologia
4.00.10.01.01.50.0;Ginecologia e obstetrícia
4.00.10.01.01.60.9;Fisiatria
4.00.10.01.01.70.7;Oftalmologia
4.00.10.01.01.80.6;Ortopedia
4.00.10.02.00.00.9;Cirurgia
4.00.10.02.00.10.7;Cirurgia plástica e restauradora
4.00.10.02.00.20.5;Cirurgia otorrinolaringológica
4.00.10.02.00.30.3;Cirurgia oftalmológica
4.00.10.02.00.40.1;Cirurgia cardiovascular
4.00.10.02.00.50.0;Cirurgia toráxica
4.00.10.02.00.60.8;Cirurgia gastroenterologia
4.00.10.02.00.70.6;Cirurgia pediátrica
4.00.10.02.00.80.4;Neurocirurgia
4.00.10.02.00.90.2;Cirurgia urológica
4.00.10.02.01.00.6;Cirurgia proctológica
4.00.10.02.01.10.4;Cirurgia ortopédica
4.00.10.02.01.20.2;Cirurgia traumatológica
4.00.10.02.01.30.0;Anestesiologia
4.00.10.02.01.40.9;Cirurgia experimental
4.00.10.03.00.00.5;Saúde materno-infantil
4.00.10.04.00.00.1;Psiquiatria
4.00.10.05.00.00.8;Anatomia patológica e patologia clínica
4.00.10.06.00.00.4;Radiologia médica
4.00.10.07.00.00.0;Medicina legal e deontologia
4.00.20.00.00.00.0;Odontologia
4.00.20.01.00.00.7;Clínica odontológica
4.00.20.02.00.00.3;Cirurgia buco-maxilo-facial
4.00.20.03.00.00.0;Ortodontia
4.00.20.04.00.00.6;Odontopediatria
4.00.20.05.00.00.2;Periodontia
4.00.20.06.00.00.9;Endodontia
4.00.20.07.00.00.5;Radiologia odontológica
4.00.20.08.00.00.1;Odontologia social e preventiva
4.00.20.09.00.00.8;Materiais odontológicos
4.00.30.00.00.00.5;Farmácia
4.00.30.01.00.00.1;Farmacotecnia
4.00.30.02.00.00.8;Farmacognosia
4.00.30.03.00.00.4;Análise toxicológica
4.00.30.04.00.00.0;Análise e controle e medicamentos
4.00.30.05.00.00.7;Bromatologia
4.00.40.00.00.00.0;Enfermagem
4.00.40.01.00.00.6;Enfermagem médico-cirúrgica
4.00.40.02.00.00.2;Enfermagem obstétrica
4.00.40.03.00.00.9;Enfermagem pediátrica
4.00.40.04.00.00.5;Enfermagem psiquiátrica
4.00.40.05.00.00.1;Enfermagem de doenças contagiosas
4.00.40.06.00.00.8;Enfermagem de sáude pública
4.00.50.00.00.00.4;Nutrição
4.00.50.01.00.00.0;Bioquímica da nutrição
4.00.50.02.00.00.7;Dietética
4.00.50.03.00.00.3;Análise nutricional de população
4.00.50.04.00.00.0;Desnutrição e desenvolvimento fisiológico
4.00.60.00.00.00.9;Saúde coletiva
4.00.60.01.00.00.5;Epidemiologia
4.00.60.02.00.00.1;Saúde pública
4.00.60.03.00.00.8;Medicina preventiva
4.00.70.00.00.00.3;Fonoaudiologia
4.00.80.00.00.00.8;Fisioterapia e terapia ocupacional
4.00.90.00.00.00.2;Educação física
5.00.00.00.00.00.4;Ciências agrárias
5.00.10.00.00.00.9;Agronomia
5.00.10.01.00.00.5;Ciência do solo
5.00.10.01.00.10.3;Gênese, morfologia e classificação dos solos
5.00.10.01.00.20.1;Física do solo
5.00.10.01.00.30.0;Química do solo
5.00.10.01.00.40.8;Microbiologia e bioquímica do solo
5.00.10.01.00.50.6;Fertilidade do solo e adubação
5.00.10.01.00.60.4;Manejo e conservação do solo
5.00.10.02.00.00.1;Fitossanidade
5.00.10.02.00.10.0;Fitopatologia
5.00.10.02.00.20.8;Entomologia agrícola
5.00.10.02.00.30.6;Parasitologia agrícola
5.00.10.02.00.40.4;Microbiologia agrícola
5.00.10.02.00.50.2;Defesa fitossanitária
5.00.10.03.00.00.8;Fitotecnia
5.00.10.03.00.10.6;Manejo e tratos culturais
5.00.10.03.00.20.4;Mecanização agrícola
5.00.10.03.00.30.2;Produção e beneficiamento de sementes
5.00.10.03.00.40.0;Produção de mudas
5.00.10.03.00.50.9;Melhoramento vegetal
5.00.10.03.00.60.7;Fisiologia de plantas cultivadas
5.00.10.03.00.70.5;Matologia
5.00.10.04.00.00.4;Floricultura, parques e jardins
5.00.10.04.00.10.2;Floricultura
5.00.10.04.00.20.0;Parques e jardins
5.00.10.04.00.30.9;Arborização de vias públicas
5.00.10.05.00.00.0;Agrometeorologia
5.00.10.06.00.00.7;Extensão rural
5.00.20.00.00.00.3;Recursos florestais e engenharia florestal
5.00.20.01.00.00.0;Silvicultura
5.00.20.01.00.10.8;Dendrologia
5.00.20.01.00.20.6;Florestamento e reflorestamento
5.00.20.01.00.30.4;Genética e melhoramento florestal
5.00.20.01.00.40.2;Sementes florestais
5.00.20.01.00.50.0;Nutrição florestal
5.00.20.01.00.60.9;Fisiologia florestal
5.00.20.01.00.70.7;Solos florestais
5.00.20.01.00.80.5;Proteção florestal
5.00.20.02.00.00.6;Manejo florestal
5.00.20.02.00.10.4;Economia florestal
5.00.20.02.00.20.2;Política e legislação florestal
5.00.20.02.00.30.0;Administração florestal
5.00.20.02.00.40.9;Dendrometria e inventário florestal
5.00.20.02.00.50.7;Fotointerpretação florestal
5.00.20.02.00.60.5;Ordenamento florestal
5.00.20.03.00.00.2;Técnicas e operações florestais
5.00.20.03.00.10.0;Exploração florestal
5.00.20.03.00.20.9;Mecanização florestal
5.00.20.04.00.00.9;Tecnologia e utilização de produtos florestais
5.00.20.04.00.10.7;Anatomia e identificação de produtos florestais
5.00.20.04.00.20.5;Propriedades físico-mecânicas da madeira
5.00.20.04.00.30.3;Relações água-madeira e secagem
5.00.20.04.00.40.1;Tratamento da madeira
5.00.20.04.00.50.0;Processamento mecânico da madeira
5.00.20.04.00.60.8;Química da madeira
5.00.20.04.00.70.6;Resinas de madeiras
5.00.20.04.00.80.4;Tecnologia de celulose e papel
5.00.20.04.00.90.2;Tecnologia de chapas
5.00.20.05.00.00.5;Conservação da natureza
5.00.20.05.00.10.3;Hidrologia florestal
5.00.20.05.00.20.1;Conservação de áreas silvestres
5.00.20.05.00.30.0;Conservação de bacias hidrográficas
5.00.20.05.00.40.8;Recuperação de áreas degradadas
5.00.20.06.00.00.1;Energia de biomassa florestal
5.00.30.00.00.00.8;Engenharia agrícola
5.00.30.01.00.00.4;Máquinas e implementos agrícolas
5.00.30.02.00.00.0;Engenharia de água e solo
5.00.30.02.00.10.9;Irrigação e drenagem
5.00.30.02.00.20.7;Conservação de solo e água
5.00.30.03.00.00.7;Engenharia de processamento de produtos agrícolas
5.00.30.03.00.10.5;Pré-processamento de produtos agrícolas
5.00.30.03.00.20.3;Armazenamento de produtos agrícolas
5.00.30.03.00.30.1;Transferência de produtos agrícolas
5.00.30.04.00.00.3;Construções rurais e ambiência
5.00.30.04.00.10.1;Assentamento rural
5.00.30.04.00.20.0;Engenharia de construções rurais
5.00.30.04.00.30.8;Saneamento rural
5.00.30.05.00.00.0;Energização rural
5.00.40.00.00.00.2;Zootecnia
5.00.40.01.00.00.9;Ecologia dos animais domésticos e etologia
5.00.40.02.00.00.5;Genética e melhoramento dos animais domésticos
5.00.40.03.00.00.1;Nutrição e alimentação animal
5.00.40.03.00.10.0;Exigências nutricionais dos animais
5.00.40.03.00.20.8;Avaliação de alimentos para animais
5.00.40.03.00.30.6;Conservação de alimentos para animais
5.00.40.04.00.00.8;Pastagem e forragicultura
5.00.40.04.00.10.6;Avaliação, produção e conservação de forragens
5.00.40.04.00.20.4;Manejo e conservação de pastagens
5.00.40.04.00.30.2;Fisiologia de plantas forrageiras
5.00.40.04.00.40.0;Melhoramento de plantas forrageiras e produção de sementes
5.00.40.04.00.50.9;Toxicologia e plantas tóxicas
5.00.40.05.00.00.4;Produção animal
5.00.40.05.00.10.2;Criação de animais
5.00.40.05.00.20.0;Manejo de animais
5.00.40.05.00.30.9;Instalações para produção animal
5.00.50.00.00.00.7;Medicina veterinária
5.00.50.01.00.00.3;Clínica e cirurgia animal
5.00.50.01.00.10.1;Anestesiologia animal
5.00.50.01.00.20.0;Técnica cirúrgica animal
5.00.50.01.00.30.8;Radiologia de animais
5.00.50.01.00.40.6;Farmacologia e terapêutica animal
5.00.50.01.00.50.4;Obstetrícia animal
5.00.50.01.00.60.2;Clínica veterinária
5.00.50.01.00.70.0;Clínica cirúrgica animal
5.00.50.01.00.80.9;Toxicologia animal
5.00.50.02.00.00.0;Medicina veterinária preventiva
5.00.50.02.00.10.8;Epidemiologia animal
5.00.50.02.00.20.6;Saneamento aplicado  à saúde do homem
5.00.50.02.00.30.4;Doenças infecciosas de animais
5.00.50.02.00.40.2;Doenças parasitárias de animais
5.00.50.02.00.50.0;Saúde animal (programas sanitários)
5.00.50.03.00.00.6;Patologia animal
5.00.50.03.00.10.4;Patologia aviária
5.00.50.03.00.20.2;Anatomia patologia animal
5.00.50.03.00.30.0;Patologia clínica animal
5.00.50.04.00.00.2;Reprodução animal
5.00.50.04.00.10.0;Ginecologia e andrologia animal
5.00.50.04.00.20.9;Inseminação artificial animal
5.00.50.04.00.30.7;Fisiopatologia da reprodução animal
5.00.50.05.00.00.9;Inspeção de produtos de origem animal
5.00.60.00.00.00.1;Recursos pesqueiros e engenharia de pesca
5.00.60.01.00.00.8;Recursos pesqueiros marinhos
5.00.60.01.00.10.6;Fatores abióticos do mar
5.00.60.01.00.20.4;Avaliação de estoques pesqueiros marinhos
5.00.60.01.00.30.2;Exploração pesqueira marinha
5.00.60.01.00.40.0;Manejo e conservação de recursos pesqueiros marinhos
5.00.60.02.00.00.4;Recursos pesqueiros de águas interiores
5.00.60.02.00.10.2;Fatores abióticos de águas interiores
5.00.60.02.00.20.0;Avaliação de estoques pesqueiros de águas interiores
5.00.60.02.00.30.9;Explotação pesqueira de águas interiores
5.00.60.02.00.40.7;Manejo e conservação de recursos pesqueiros de águas interiores
5.00.60.03.00.00.0;Aquicultura
5.00.60.03.00.10.9;Maricultura
5.00.60.03.00.20.7;Carcinocultura
5.00.60.03.00.30.5;Ostreicultura
5.00.60.03.00.40.3;Piscicultura
5.00.60.04.00.00.7;Engenharia de pesca
5.00.70.00.00.00.6;Ciência e tecnologia de alimentos
5.00.70.01.00.00.2;Ciência de alimentos
5.00.70.01.00.10.0;Valor nutritivo de alimentos
5.00.70.01.00.20.9;Química, física, físico-química e bioquímica dos alim. e das mat.-primas alimentares
5.00.70.01.00.30.7;Microbiologia de alimentos
5.00.70.01.00.40.5;Fisiologia pós-colheita
5.00.70.01.00.50.3;Toxicidade e resíduos de pesticidas em alimentos
5.00.70.01.00.60.1;Avaliação e controle de qualidade de alimentos
5.00.70.01.00.70.0;Padrões, legislação e fiscalização de alimentos
5.00.70.02.00.00.9;Tecnologia de alimentos
5.00.70.02.00.10.7;Tecnologia de produtos de origem animal
5.00.70.02.00.20.5;Tecnologia de produtos de origem vegetal
5.00.70.02.00.30.3;Tecnologia das bebidas
5.00.70.02.00.40.1;Tecnologia de alimentos dietéticos e nutricionais
5.00.70.02.00.50.0;Aproveitamento de subprodutos
5.00.70.02.00.60.8;Embalagens de produtos alimentares
5.00.70.03.00.00.5;Engenharia de alimentos
5.00.70.03.00.10.3;Instalações industriais de produção de alimentos
5.00.70.03.00.20.1;Armazenamento de alimentos
6.00.00.00.00.00.7;Ciências sociais aplicadas
6.00.10.00.00.00.1;Direito
6.00.10.01.00.00.8;Teoria do direito
6.00.10.01.00.10.6;Teoria geral do direito
6.00.10.01.00.20.4;Teoria geral do processo
6.00.10.01.00.30.2;Teoria do estado
6.00.10.01.00.40.0;História do direito
6.00.10.01.00.50.9;Filosofia do direito
6.00.10.01.00.60.7;Lógica jurídica
6.00.10.01.00.70.5;Sociologia jurídica
6.00.10.01.00.80.3;Antropologia jurídica
6.00.10.02.00.00.4;Direito público
6.00.10.02.00.10.2;Direito tributário
6.00.10.02.00.20.0;Direito penal
6.00.10.02.00.30.9;Direito processual penal
6.00.10.02.00.40.7;Direito processual civil
6.00.10.02.00.50.5;Direito constitucional
6.00.10.02.00.60.3;Direito administrativo
6.00.10.02.00.70.1;Direito internacional público
6.00.10.03.00.00.0;Direito privado
6.00.10.03.00.10.9;Direito civil
6.00.10.03.00.20.7;Direito comercial
6.00.10.03.00.30.5;Direito do trabalho
6.00.10.03.00.40.3;Direito internacional privado
6.00.10.04.00.00.7;Direitos especiais
6.00.20.00.00.00.6;Administração
6.00.20.01.00.00.2;Administração de empresas
6.00.20.01.00.10.0;Administração da produção
6.00.20.01.00.20.9;Administração financeira
6.00.20.01.00.30.7;Mercadologia
6.00.20.01.00.40.5;Negócios internacionais
6.00.20.01.00.50.3;Administração de recursos humanos
6.00.20.02.00.00.9;Administração pública
6.00.20.02.00.10.7;Contabilidade e finanças públicas
6.00.20.02.00.20.5;Organizações públicas
6.00.20.02.00.30.3;Política e planejamento governamentais
6.00.20.02.00.40.1;Administração de pessoal
6.00.20.03.00.00.5;Administração de setores específicos
6.00.20.04.00.00.1;Ciencias contábeis
6.00.30.00.00.00.0;Economia
6.00.30.01.00.00.7;Teoria econômica
6.00.30.01.00.10.5;Economia geral
6.00.30.01.00.20.3;Teoria geral da economia
6.00.30.01.00.30.1;História do pensamento econômico
6.00.30.01.00.40.0;História econômica
6.00.30.01.00.50.8;Sistemas econômicos
6.00.30.02.00.00.3;Métodos quantitativos em economia
6.00.30.02.00.10.1;Métodos e modelos matemáticos, econométricos e estatísticos
6.00.30.02.00.20.0;Estatística sócio-econômica
6.00.30.02.00.30.8;Contabilidade nacional
6.00.30.02.00.40.6;Economia matemática
6.00.30.10.00.00.6;Economias agrária e dos recursos naturais
6.00.30.10.00.10.4;Economia agrária
6.00.30.10.00.20.2;Economia dos recursos naturais
6.00.30.03.00.00.0;Economia monetária e fiscal
6.00.30.03.00.10.8;Teoria monetária e financeira
6.00.30.03.00.20.6;Instituições monetárias e financeiras do Brasil
6.00.30.03.00.30.4;Finanças públicas internas
6.00.30.03.00.40.2;Política fiscal do Brasil
6.00.30.04.00.00.6;Crescimento, flutuações e planejamento econômico
6.00.30.04.00.10.4;Crescimento e desenvolvimento econômico
6.00.30.04.00.20.2;Teoria e política de planejamento econômico
6.00.30.04.00.30.0;Flutuações cíclicas e projeções econômicas
6.00.30.04.00.40.9;Inflação
6.00.30.05.00.00.2;Economia internacional
6.00.30.05.00.10.0;Teoria do comércio internacional
6.00.30.05.00.20.9;Relações do comércio política comercial integração econômica
6.00.30.05.00.30.7;Balanço de pagamentos finanças internacionais
6.00.30.05.00.40.5;Investimentos internacionais e ajuda externa
6.00.30.06.00.00.9;Economia dos recursos humanos
6.00.30.06.00.10.7;Treinamento e alocação de mão-de-obra oferta de mão-de-obra e força de trabalho
6.00.30.06.00.20.5;Mercado de trabalho política do governo
6.00.30.06.00.30.3;Sindicatos, dissídios coletivos, relações de emprego (empregador/empregado)
6.00.30.06.00.40.1;Capital humano
6.00.30.06.00.50.0;Demografia econômica
6.00.30.07.00.00.5;Economia industrial
6.00.30.07.00.10.3;Organização industrial e estudos industriais
6.00.30.07.00.20.1;Mudanca tecnológica
6.00.30.08.00.00.1;Economia do bem-estar social
6.00.30.08.00.10.0;Economia dos programas de bem-estar social
6.00.30.08.00.20.8;Economia do consumidor
6.00.30.09.00.00.8;Economia regional e urbana
6.00.30.09.00.10.6;Economia regional
6.00.30.09.00.20.4;Economia urbana
6.00.30.09.00.30.2;Renda e tributação
6.00.40.00.00.00.5;Arquitetura e urbanismo
6.00.40.01.00.00.1;Fundamentos de arquitetura e urbanismo
6.00.40.01.00.10.0;História da arquitetura e urbanismo
6.00.40.01.00.20.8;Teoria da arquitetura
6.00.40.01.00.30.6;História do urbanismo
6.00.40.01.00.40.4;Teoria do urbanismo
6.00.40.02.00.00.8;Projeto de arquitetuta e urbanismo
6.00.40.02.00.10.6;Planejamento e projetos da edificação
6.00.40.02.00.20.4;Planejamento e projeto do espaço urbano
6.00.40.02.00.30.2;Planejamento e projeto do equipamento
6.00.40.03.00.00.4;Tecnologia de arquitetura e urbanismo
6.00.40.03.00.10.2;Adequação ambiental
6.00.40.04.00.00.0;Paisagismo
6.00.40.04.00.10.9;Desenvolvimento histórico do paisagismo
6.00.40.04.00.20.7;Conceituação de paisagismo e metodologia do paisagismo
6.00.40.04.00.30.5;Estudos de organização do espaço exterior
6.00.40.04.00.40.3;Projetos de espaços livres urbanos
6.00.50.00.00.00.0;Planejamento urbano e regional
6.00.50.01.00.00.6;Fundamentos do planejamento urbano e regional
6.00.50.01.00.10.4;Teoria do planejamento urbano e regional
6.00.50.01.00.20.2;Teoria da urbanização
6.00.50.01.00.30.0;Política urbana
6.00.50.01.00.40.9;História urbana
6.00.50.02.00.00.2;Métodos e técnicas do planejamento urbano e regional
6.00.50.02.00.10.0;Informação, cadastro e mapeamento
6.00.50.02.00.20.9;Técnica de previsão urbana e regional
6.00.50.02.00.30.7;Técnicas de análise e avaliação urbana e regional
6.00.50.02.00.40.5;Técnicas de planejamento e projeto urbanos e regionais
6.00.50.03.00.00.9;Serviços urbanos e regionais
6.00.50.03.00.10.7;Administração municipal e urbana
6.00.50.03.00.20.5;Estudos da habitação
6.00.50.03.00.30.3;Aspectos sociais do planejamento urbano e regional
6.00.50.03.00.40.1;Aspectos econômicos do planejamento urbano e regional
6.00.50.03.00.50.0;Aspectos físico-ambientais do planejamento urbano e regional
6.00.50.03.00.60.8;Serviços comunitários
6.00.50.03.00.70.6;Infra-estruturas urbanas e regionais
6.00.50.03.00.80.4;Transporte e tráfego urbano e regional
6.00.50.03.00.90.2;Legislação urbana e regional
6.00.60.00.00.00.4;Demografia
6.00.60.01.00.00.0;Distribuição espacial
6.00.60.01.00.10.9;Distribuição espacial geral
6.00.60.01.00.20.7;Distribuição espacial urbana
6.00.60.01.00.30.5;Distribuição espacial rural
6.00.60.02.00.00.7;Tendência populacional
6.00.60.02.00.10.5;Tendências passadas
6.00.60.02.00.20.3;Taxas e estimativas correntes
6.00.60.02.00.30.1;Projeções
6.00.60.03.00.00.3;Componentes da dinâmica demografica
6.00.60.03.00.10.1;Fecundidade
6.00.60.03.00.20.0;Mortalidade
6.00.60.03.00.30.8;Migração
6.00.60.04.00.00.0;Nupcialidade e família
6.00.60.04.00.10.8;Casamento e divórcio
6.00.60.04.00.20.6;Família e reprodução
6.00.60.05.00.00.6;Demografia histórica
6.00.60.05.00.10.4;Distribuição espacial
6.00.60.05.00.20.2;Natalidade, mortalidade, migração
6.00.60.05.00.30.0;Nupcialidade e família
6.00.60.05.00.40.9;Métodos e técnicas de demografia histórica
6.00.60.06.00.00.2;Política pública e população
6.00.60.06.00.10.0;Política populacional
6.00.60.06.00.20.9;Políticas de redistribuição de população
6.00.60.06.00.30.7;Políticas de planejamento familiar
6.00.60.07.00.00.9;Fontes de dados demográficos
6.00.70.00.00.00.9;Ciência da informação
6.00.70.01.00.00.5;Teoria da informação
6.00.70.01.00.10.3;Teoria geral da informação
6.00.70.01.00.20.1;Processos da comunicação
6.00.70.01.00.30.0;Representação da informação
6.00.70.02.00.00.1;Biblioteconomia
6.00.70.02.00.10.0;Teoria da classificação
6.00.70.02.00.20.8;Métodos quantitativos. bibliometria
6.00.70.02.00.30.6;Técnicas de recuperação de informação
6.00.70.02.00.40.4;Processos de disseminação da informação
6.00.70.03.00.00.8;Arquivologia
6.00.70.03.00.10.6;Organização de arquivos
6.00.80.00.00.00.3;Museologia
6.00.90.00.00.00.8;Comunicação
6.00.90.01.00.00.4;Teoria da comunicação
6.00.90.02.00.00.0;Jornalismo e editoração
6.00.90.02.00.10.9;Teoria e ética do jornalismo
6.00.90.02.00.20.7;Organização editorial de jornais
6.00.90.02.00.30.5;Organização comercial de jornais
6.00.90.02.00.40.3;Jornalismo especializado (comunitário, rural, empresarial, científico)
6.00.90.03.00.00.7;Rádio e televisão
6.00.90.03.00.10.5;Radiodifusão
6.00.90.03.00.20.3;Videodifusão
6.00.90.04.00.00.3;Relações públicas e propaganda
6.00.90.05.00.00.0;Comunicação visual
6.01.00.00.00.00.0;Servico social
6.01.00.01.00.00.7;Fundamentos do serviço social
6.01.00.02.00.00.3;Serviço social aplicado
6.01.00.02.00.10.1;Serviço social do trabalho
6.01.00.02.00.20.0;Serviço social da educação
6.01.00.02.00.30.8;Serviço social do menor
6.01.00.02.00.40.6;Serviço social da saúde
6.01.00.02.00.50.4;Serviço social da habitação
6.01.10.00.00.00.5;Economia doméstica
6.01.20.00.00.00.0;Desenho industrial
6.01.20.01.00.00.6;Programação visual
6.01.20.02.00.00.2;Desenho de produto
6.01.30.00.00.00.4;Turismo
7.00.00.00.00.00.0;Ciências humanas
7.00.10.00.00.00.4;Filosofia
7.00.10.01.00.00.0;História da filosofia
7.00.10.02.00.00.7;Metafísica
7.00.10.03.00.00.3;Lógica
7.00.10.04.00.00.0;Ética
7.00.10.05.00.00.6;Epistemologia
7.00.10.06.00.00.2;Filosofia brasileira
7.00.20.00.00.00.9;Sociologia
7.00.20.01.00.00.5;Fundamentos da sociologia
7.00.20.01.00.10.3;Teoria sociológica
7.00.20.01.00.20.1;História da sociologia
7.00.20.02.00.00.1;Sociologia do conhecimento
7.00.20.03.00.00.8;Sociologia do desenvolvimento
7.00.20.04.00.00.4;Sociologia urbana
7.00.20.05.00.00.0;Sociologia rural
7.00.20.06.00.00.7;Sociologia da saúde
7.00.20.07.00.00.3;Outras sociologias específicas
