CODE;LEGENDA
1.00.50.06.00.00.4;Física dos flúidos, física de plasmas e descargas elétricas
1.00.50.06.00.10.2;Cinética e teoria de transporte de flúidos propriedades físicas de gases
1.00.50.06.00.20.0;Física de plasmas e descargas elétricas
1.00.50.07.00.00.0;Física da matéria condensada
1.00.50.07.00.10.9;Estrutura de líquidos e sólidos cristalografia
1.00.50.07.00.20.7;Propriedades mecânicas e acústicas da matéria condensada
1.00.50.07.00.30.5;Dinâmica da rede e estatística de cristais
1.00.50.07.00.40.3;Equação de estado, equilíbrio de fases e transições de fase
1.00.50.07.00.50.1;Propriedades térmicas da matéria condensada
1.00.50.07.00.60.0;Propriedades de transportes de matéria condensada (não eletrônicas)
1.00.50.07.00.70.8;Campos quânticos e sólidos, hélio, líquido, sólido
1.00.50.07.00.80.6;Superfícies e interfaces películas e filamentos
1.00.50.07.00.90.4;Estados eletrônicos
1.00.50.07.01.10.6;Estruturas eletrônicas e propriedades elétricas de superfícies interfaces e películas
1.00.50.07.01.20.4;Supercondutividade
1.00.50.07.01.30.2;Materiais magnéticos e propriedades magnéticas
1.00.50.07.01.40.0;Ressonância mag.e relax.na mat.condensefeitos mosbauercorr.ang.pertubada
1.00.50.07.01.50.9;Materiais dielétricos e propriedades dielétricas
1.00.50.07.01.60.7;Prop.óticas e espectrosc.da mat.condensoutras inter.da mat.com rad.e part.
1.00.50.07.01.70.5;Emissão eletrônica e iônica por líquidos e sólidos fenômenos de impacto
1.00.60.00.00.00.0;Química
1.00.60.01.00.00.7;Química orgânica
1.00.60.01.00.10.5;Estrutura, conformação e estereoquímica
1.00.60.01.00.20.3;Síntese orgânica
1.00.60.01.00.30.1;Físico-química orgânica
1.00.60.01.00.40.0;Fotoquímica orgânica
1.00.60.01.00.50.8;Química dos produtos naturais
1.00.60.01.00.60.6;Evolução, sistemática e ecologia química
1.00.60.01.00.70.4;Polímeros e colóides
1.00.60.02.00.00.3;Química inorgânica
1.00.60.02.00.10.1;Campos de coordenação
1.00.60.02.00.20.0;Não-metais e seus compostos
1.00.60.02.00.30.8;Compostos organo-metálicos
1.00.60.02.00.40.6;Determinação de estrutura de compostos inorgânicos
1.00.60.02.00.50.4;Foto-química inorgânica
1.00.60.02.00.60.2;Físico química inorgânica
1.00.60.02.00.70.0;Química bio-inorgânica
1.00.60.03.00.00.0;Físico-química
1.00.60.03.00.10.8;Cinética química e catálise
1.00.60.03.00.20.6;Eletroquímica
1.00.60.03.00.30.4;Espectroscopia
1.00.60.03.00.40.2;Química de interfaces
1.00.60.03.00.50.0;Química do estado condensado
1.00.60.03.00.60.9;Química nuclear e radioquímica
1.00.60.03.00.70.7;Química teórica
1.00.60.03.00.80.5;Termodinâmica química
1.00.60.04.00.00.6;Química analítica
1.00.60.04.00.10.4;Separação
1.00.60.04.00.20.2;Métodos óticos de análise
1.00.60.04.00.30.0;Eletroanalítica
1.00.60.04.00.40.9;Gravimetria
1.00.60.04.00.50.7;Titimetria
1.00.60.04.00.60.5;Instrumentação analítica
1.00.60.04.00.70.3;Análise de traços e química ambiental
1.00.70.00.00.00.5;Geociências
1.00.70.01.00.00.1;Geologia
1.00.70.01.00.10.0;Mineralogia
1.00.70.01.00.20.8;Petrologia
1.00.70.01.00.30.6;Geoquímica
1.00.70.01.00.40.4;Geologia regional
1.00.70.01.00.50.2;Geotectônica
1.00.70.01.00.60.0;Geocronologia
1.00.70.01.00.70.9;Cartografia geológica
1.00.70.01.00.80.7;Metalogenia
1.00.70.01.00.90.5;Hidrogeologia
1.00.70.01.01.00.9;Prospecção mineral
1.00.70.01.01.10.7;Sedimentologia
1.00.70.01.01.20.5;Paleontologia estratigráfica
1.00.70.01.01.30.3;Estratigrafia
1.00.70.01.01.40.1;Geologia ambiental
1.00.70.02.00.00.8;Geofísica
1.00.70.02.00.10.6;Geomagnetismo
1.00.70.02.00.20.4;Sismologia
1.00.70.02.00.30.2;Geotermia e fluxo térmico
1.00.70.02.00.40.0;Propriedades físicas das rochas
1.00.70.02.00.50.9;Geofísica nuclear
1.00.70.02.00.60.7;Sensoriamento remoto
1.00.70.02.00.70.5;Aeronomia
1.00.70.02.00.80.3;Desenvolvimento de instrumentação geofísica
1.00.70.02.00.90.1;Geofísica aplicada
1.00.70.02.01.00.5;Gravimetria
1.00.70.03.00.00.4;Meteorologia
1.00.70.03.00.10.2;Meteorologia dinâmica
1.00.70.03.00.20.0;Meteorologia sinótica
1.00.70.03.00.30.9;Meteorologia física
1.00.70.03.00.40.7;Química da atmosfera
1.00.70.03.00.50.5;Instrumentação meteorológica
1.00.70.03.00.60.3;Climatologia
1.00.70.03.00.70.1;Micrometeorologia
1.00.70.03.00.80.0;Sensoriamento remoto da atmosfera
1.00.70.03.00.90.8;Meteorologia aplicada
1.00.70.04.00.00.0;Geodésia
1.00.70.04.00.10.9;Geodésia física
1.00.70.04.00.20.7;Geodésia geométrica
1.00.70.04.00.30.5;Geodésia celeste
1.00.70.04.00.40.3;Fotogrametria
1.00.70.04.00.50.1;Cartografia básica
1.00.70.05.00.00.7;Geografia física
1.00.70.05.00.10.5;Geomorfologia
