code;prefLabel
6165109026225910;GRUPO DE PESQUISAS EM DIREITOS HUMANOS DA TRIBUTAÇÃO (Universidade Federal de Santa Catarina - UFSC)
7350053812760180;NEPEC- Núcleo de Extensão e Pesquisa em Educação, Memória e Cultura (Instituto Federal Sul-Rio-Grandense - IFSUL)
1311506400851820;Avaliação e Intervenção do Funcionamento Psicológico Adaptado e Não Adaptado (Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS)
1897787761898960;GREAT - Grupo de Estudos de Adaptação e Tradução (Universidade de São Paulo - USP)
7100245025659740;História do PCB e do movimento operário no Brasil (Universidade Federal do Rio de Janeiro - UFRJ)
9077413703473620;Síntese e Química de Produtos Naturais (Universidade Federal de Pernambuco - UFPE)
3890097877487510;Laboratório de História Econômica e Social (LAHES) (Universidade Federal de Juiz de Fora - UFJF)
6564004173498540;Grupo de Estudos Lingüísticos (Universidade Federal de Mato Grosso do Sul - UFMS)
0969186994302079;Formação do Sujeito: Educação e Saúde (Universidade Braz Cubas - UBC)
9038782163994440;Grupo de Estudos e Pesquisas sobre Sujeitos que Aprendem e Ensinam Ciências (Universidade Federal do Pará - UFPA)
9348137859629020;GRUPO DE EMPREENDEDORISMO E INOVAÇÃO DA AMAZÔNIA (Universidade do Estado do Pará - UEPA)
6979717175607140;Núcleo de Pesquisa, de Ensino em Formação de Recursos Humanos em Saúde (Universidade Estadual de Maringá - UEM)
5930671647224210;Ações da Medicina para o manejo adequado e humanizado de gestantes adolescentes primípara (Faculdade Santa Maria de Cajazeiras - FSM)
5106691018280790;Centro de Diagnóstico e Pesquisa em Patologia Aviária (CDPA) (Universidade Federal do Rio Grande do Sul - UFRGS)
7723462206494620;Função social da empresa (Universidade Federal Rural do Rio de Janeiro - UFRRJ)
0253069615235603;ANÁLISE E BIOTECNOLOGIA DE ALIMENTOS E PRODUTOS AGROINDUSTRIAIS (Universidade do Estado de Mato Grosso - UNEMAT)
9185412310333450;Pesquisa Agronegócio (Instituto Federal Goiano - IF Goiano)
7915792821970120;Direitos fundamentais e relações jurídico-privadas (Universidade Federal de Uberlândia - UFU)
1551146097379000;Núcleo de Pesquisas e Estudos em Saúde (NUPES) (Instituto Federal Fluminense - IFF)
4838802921726480;A construção da experiência educativa no Instituto de Educação Espírita Solar dos Girassóis e seu diálogo com a Pedagogia Espírita: buscando os pontos de vista do educador e do educando (Universidade Federal do Ceará - UFC)
9189996428887970;PROJECON_ARQ: Projeto de Arquitetura, Conforto, Eficiência Energética, Sustentabilidade e Manifestações Patológicas (Universidade Federal de Santa Maria - UFSM)
2567626475407230;Engenharia Metalúrgica, Minas, Materiais e Ambiental (Universidade do Estado de Minas Gerais - UEMG)
9660107436661380;Ensino de Artes em Ateliês (Universidade Federal da Paraíba - UFPB)
0885424498477077;Democracia e novas tecnologias (Centro Universitário Curitiba - UNICURITIBA)
8861678537285430;Grupo de Pesquisa em Saúde Bucal Coletiva (Universidade Federal de Pelotas - UFPEL)
0394130757582217;Robótica e Tecnologia Assistiva (Universidade Federal do Espírito Santo - UFES)
5484365340285710;Núcleo de Estudos e Pesquisas Interdisciplinares sobre Saúde Reprodutiva, Comunicação em Saúde e Direitos Humanos (Universidade Estadual de Ponta Grossa - UEPG)
1727870847463020;Estudo das Mal-fornações do Sistema Nervoso Central (Universidade Estadual do Piauí - UESPI)
3812151816521960;Ciência dos Alimentos (Universidade Federal de Mato Grosso - UFMT)
4931623410339520;Rádio e Política no Maranhão (RPM) (Universidade Federal do Maranhão - UFMA)
7127484645607320;Dispositivos Fotônicos em Fibras e Vidros (Pontifícia Universidade Católica do Rio de Janeiro - PUC-Rio)
2960730435468680;Laboratório de Estudos em Voleibol (Universidade Federal de Juiz de Fora - UFJF)
2333256379744710;Grupo de Estudos e Pesquisas em Formação de Educadores em Ciência - GEP/FEC (Universidade Estadual do Sudoeste da Bahia - UESB)
9433739546434340;Grupo de Materiais e Magnetismo: sistemas nanoestruturados e propriedades optoeletrônicas (Universidade Federal da Integração Latino-Americana - UNILA)
3905808667445650;ConSiste: Concepção de Sistemas de Computação (Universidade Federal do Rio Grande do Norte - UFRN)
9053622485766140;Bioquímica clínica das doenças metabólicas (Universidade Federal de Minas Gerais - UFMG)
1793303276144680;Grupo de Pesquisa em Educação Física, Esporte e Lazer (GPEEL) (Universidade Regional do Cariri - URCA)
6857585702077940;Grupo de Estudos em Linguística Computacional, Corpus e Humanidades Digitais (ComCorHd) (Pontifícia Universidade Católica do Rio de Janeiro - PUC-Rio)
8561723552984080;Grupo de Estudos e Pesquisas em Contabilidade e Finanças (Universidade Federal de São João Del-Rei - UFSJ)
9177919397121030;TECMIDIA (Universidade Federal de Santa Catarina - UFSC)
9723402289039860;Formação de professores de língua estrangeira (Universidade Estadual de Londrina - UEL)
3506281444654860;Coletivo Negro: grupo de estudos sobre racismo, segregação, encarceramento e genocídio no Brasil (Universidade Federal de Mato Grosso - UFMT)
5969168310217070;PROCESSO E DIREITO SISTÊMICO (Universidade Federal do Pará - UFPA)
1212783684454920;Sistemas Automáticos Inteligentes (FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS - FEI)
2803208704235890;Tecnologias aplicadas à criação, à expressão e ao ensino musicais (Universidade Federal de São Carlos - UFSCAR)
6594541329435030;Núcleo de Pesquisa em Tecnologia Assistiva (Universidade Federal do Rio Grande do Sul - UFRGS)
9519258786490890;GRUPO DE PESQUISA EM EDUCAÇÃO ATIVA (GPEA) (Universidade Federal Rural de Pernambuco - UFRPE)
3319005944165280;LAQueer - Laboratório de Linguística Aplicada Queer (Universidade Federal de São Carlos - UFSCAR)
3509110730986090;AMAMENTAÇAO E SAUDE (Universidade de Brasília - UnB)
4493081099803650;Laboratório de Línguas Eletrônicas e Sensores Eletroquímicos (Universidade de São Paulo - USP)
8570398209469470;Grupo de Extensão e Pesquisa Educação do Campo, Movimentos Sociais e Agroecologia (Universidade Federal Fluminense - UFF)
7713080059055310;Laboratório de Biologia Molecular de Nematoides (Universidade de São Paulo - USP)
5074601512524140;GEPACCOP- Grupo de estudo e pesquisa em alimentação coletiva do Centro-Oeste do Paraná. (Universidade Estadual do Centro-Oeste - UNICENTRO)
1567985108125790;Centre for Research on Toxinology (Universidade do Oeste Paulista - UNOESTE)
3675983027622290;GESA (Universidade Federal do Tocantins - UFT)
6929578915074100;Grupo de Pesquisa Múltiplas Conexões (FAE Centro Universitário - FAE)
9347020391797780;Tecnologias Computacionais para Agricultura (Instituto Federal de Santa Catarina - IFSC)
6774514604712380;COOPERACAO E COMPETITIVIDADE: ESTRATEGIAS E INSTRUMENTOS PARA DESENVOLVIMENTO (Agenda 2030 e ODS) (Universidade do Contestado - UnC)
2573920208726380;NR2 - Núcleo de Redes Sem Fio e Redes Avançadas (Universidade Federal do Paraná - UFPR)
1952257591341930;Efeitos da Radiação Ionizante em Dispositivos e Materiais de Uso Aeroespacial (Instituto de Estudos Avançados - IEAv)
1150618141732640;CECOM - Centro de Estudos do Campo da Comunicação (Universidade de São Paulo - USP)
1270812284326480;Grupo de Pesquisa em Educacao Aplicada as Geociencias (Universidade Estadual de Campinas - UNICAMP)
4749942604248810;Transtornos do Desenvolvimento e Dificuldades de Aprendizagem (Universidade Federal do Pará - UFPA)
5114185163864080;PRATICAR - Pesquisa pRáticA em Tecnologia da Informação, Controle, Automação e Robótica (Instituto Federal Minas Gerais - IFMG)
9691998440076720;Grupo de Infectologia (Universidade Federal da Paraíba - UFPB)
5309136427453570;Grupo de Pesquisa Mundos do Trabalho na Amazônia - GPMTA (Universidade Federal do Acre - UFAC)
3350826823287930;Área de Proteção Permanente (Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES)
2702098735971300;G-Assimila: Assimilação de Dados por Rede Neurais Artificiais (Instituto Nacional de Pesquisas Espaciais - INPE)
5804512479435490;Grupo de Estudos em Assistência Farmacêutica (Universidade Federal Fluminense - UFF)
9302715806585040;Grupo de Estudos em Robótica (GER) - CEFET-MG / Campus Divinópolis (Centro Federal de Educação Tecnológica de Minas Gerais - CEFET/MG)
4856778535461580;Grupo de Pesquisa em Bioenergia (GBio-IEE-USP) (Universidade de São Paulo - USP)
