code;prefLabel
8766609275770280;Laboratório de Estabilidade Genômica (Universidade de São Paulo - USP)
0331208523104046;MÍDIA E PARTICIPAÇÃO POLÍTICA E SOCIAL (Universidade Federal de Santa Catarina - UFSC)
7862030230655220;Gestão Pública e Inovação (Faculdade Dinâmica do Vale do Piranga - FADIP)
6754940083931410;Grupo de Estudos do Patrimônio, Arte e Sociedade (Universidade de Taubaté - UNITAU)
5319617808877740;Análise de Erros e a Formação do Professor de Matemática (Universidade Estadual do Sudoeste da Bahia - UESB)
1481553629136690;SIMULAÇÃO DGP (Universidade Federal do Rio Grande do Sul - UFRGS)
8766516399444870;Grupo de Pesquisa em Paleomateriais (Universidade Federal do Cariri - UFCA)
4803458515287690;PROCESSO PENAL CONTEMPORÂNEO: fundamentos, perspectivas e problemas atuais (Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS)
9787525389271580;Serviço Social e Direitos (Universidade Federal do Estado do Rio de Janeiro - UNIRIO)
0713717428455455;Núcleo de Estudo, Pesquisa e Extensão em Atividade Física (Universidade do Estado da Bahia - UNEB)
2476253235890310;SatRad (Universidade Federal de Pelotas - UFPEL)
6430290908211260;Regulação ambiental da atividade econômica sustentável (REGA) (Escola Superior Dom Helder Câmara - ESDHC)
5356895023159380;Estratégias empresariais guiadas pela Eco-inovação (Grupo IBMEC - IBMEC)
4571010182445290;Biomonitoramento (Universidade Federal de Juiz de Fora - UFJF)
7265911376968880;Marcadores Epidemiológicos e de Diagnóstico: Resistência e Tipagem Bateriana (Universidade de São Paulo - USP)
5213913559365750;Estudos de literatura contemporânea: política e gênero (Universidade Estadual do Piauí - UESPI)
7556893843543960;Cultivo consorciado (Universidade Federal Rural do Semi-Árido - UFERSA)
1044858961980980;GENTE - Grupo de Estudos sobre Novas Tecnologias na Educação (Universidade do Estado de Mato Grosso - UNEMAT)
0845300621368257;Geometria de Subvariedades (Universidade de São Paulo - USP)
5259983090775670;GERA - Grupo de estudos em Economia Rural e Administração (Universidade Estadual de Londrina - UEL)
0555202682481497;Pesquisa em Farmacocinética e Toxicologia de novos fármacos e medicamentos (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
3055813871218990;Biofísica e Farmacologia Molecular da dor (Instituto de Ensino e Pesquisa da Santa Casa de Belo Horizonte - IEP-SCBH)
0954705144921779;Grupo de Pesquisas em Isolamento, Síntese e Modelagem Molecular de Substâncias Bioativas (PISMM) (Universidade Federal de São João Del-Rei - UFSJ)
7283668680693100;Laboratório de Estudos Hum(e)anos (Universidade Federal Fluminense - UFF)
8718254163711500;Núcleo de Energia, Gestão, Engenharia e Tecnologia (NENGTEC) (Universidade Federal do Espírito Santo - UFES)
0133914796898604;Biotecnologias Aplicadas à Saúde (Universidade Ceuma - UNICEUMA)
4052810880889390;Grupo de Física Computacional Aplicada (Instituto Federal de Alagoas - Matriz - IFAL)
3131483640652160;Laboratório "Linguagem, Interação, Cultura e Cognição" (Universidade de São Paulo - USP)
6997118723164420;atividade fisica e promoção da saude (Centro de Ensino Superior de Maringá - CESUMAR)
3254812881756270;Busca de inovação tecnológica na área de bioenergia (Instituto Federal de São Paulo - IFSP)
2782602844749050;LABMAR (Universidade Federal de Alagoas - UFAL)
0285371812785959;Grupo de Pesquisa e Desenvolvimento Tecnológico de Produtos Farmacêuticos (Universidade Federal do Amazonas - UFAM)
0060372863798878;Tecnologias e Soluções Sustentáveis (Universidade Federal de Pelotas - UFPEL)
7530688853127880;Trabalho, mobilidade e relação campo-cidade na produção do espaço (Universidade Estadual do Sudoeste da Bahia - UESB)
7117319809931670;Didática do Direito Tributário: o ensino baseado em casos (Universidade de São Paulo - USP)
1454225208114480;GRUPO DE FÍSICA BÁSICA E APLICADA EM MATERIAIS SEMICONDUTORES (Universidade Federal da Bahia - UFBA)
3208810887463290;Pesquisa, desenvolvimento e inovação tecnológica de produtos farmacêuticos, cosméticos e nutracêuticos a partir de matérias primas de origem natural, sintética ou biotecnológica. (Universidade Federal de Goiás - UFG)
6596376255497610;Estudos Multidisciplinares em Administração (Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS)
0804767002625164;Grupo de Estudos em Arquitetura e Engenharia Hospitalar (Universidade Federal da Bahia - UFBA)
9141202451813110;Engenharia de Software Aplicada (ESA) (Instituto Federal de Educação Ciência e Tecnologia de Mato Grosso - IFMT)
4675400593992960;GRUPO DE ESTUDOS INTERDISCIPLINARES EM DIREITOS HUMANOS, DEMOCRACIA E EDUCAÇÃO JURÍDICA (GPDIRE) (Universidade Potiguar - UnP)
7660721211174870;Proteômica, peptidômica e espectrometria de massas (Universidade Federal de São Paulo - UNIFESP)
0809429794129712;Rede de Estudos sobre Ensino e Aprendizagem de História (Universidade Estadual de Londrina - UEL)
0992430278723097;Produtos Naturais Bioativos (Universidade de São Paulo - USP)
3210175539837060;Estudos em Fonética e Fonologia (Universidade Federal de Alagoas - UFAL)
1814147581960650;História da Conservação da Natureza: Ativismo e Ciência (Universidade de Brasília - UnB)
5487010436576710;Grupo de Pesquisas em Psicanálise, Educação e Política (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
4691137966524170;Viver adulto e saúde (Universidade Federal do Triângulo Mineiro - UFTM)
8936381909484730;Imagem Molecular (Instituto Nacional de Câncer - INCA)
0137598738776746;Imagem e História Cultural (Universidade Federal de Goiás - UFG)
1429131479678480;Oncologia Oro-cutânea (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
5145180879113870;Núcleo de Estudos Industriais e Tecnológicos - NEITEC (Universidade Federal do Rio de Janeiro - UFRJ)
1003354346385280;Estudos Avançados em Comunicação Organizacional (Universidade Federal do Rio Grande do Norte - UFRN)
7555550659682310;Trabalho, saúde e deficiência (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
3155246123303430;Alternativas biológicas para remediação ambiental (Universidade Federal do Estado do Rio de Janeiro - UNIRIO)
7129031475705320;Grupo de Estudos Culturas Populares (Universidade Federal do Rio Grande do Norte - UFRN)
3171452957719360;Literatura e Antropologia: cartografias e outros procedimentos narrativos (Universidade Federal Rural do Rio de Janeiro - UFRRJ)
4701961242414920;Insumos alternativos para a fertilização de solos. (Universidade Federal de São Carlos - UFSCAR)
7180557752930780;GELIT Grupo de Estudos de Literatura (Centro Universitário Municipal de Franca - Uni-FACEF)
6620147983834920;História da Música Maranhense (Universidade Federal do Maranhão - UFMA)
0426425676451682;NETPDH - Núcleo de Estudos da Tutela Penal e Educação em Direitos Humanos (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
1115859546650780;Logística e Redes de Infraestrutura (Universidade Federal do Ceará - UFC)
6388561449752450;Grupo de Pesquisa em Tecnologias Ambientais - GPTecA (Universidade Estadual da Paraíba - UEPB)
6585349500238600;Síntese Molecular (Universidade Federal de Goiás - UFG)
6423266483386430;Grupo de Nanofotônica e Nanoeletrônica da Faculdade de Engenharia Elétrica da UFPA (Universidade Federal do Pará - UFPA)
2883783768631110;História e Memória do Trabalho (Universidade Federal do Piauí - UFPI)
4934477437875290;MEDICINA VETERINARIA PREVENTIVA E DE PRODUCAO (Universidade Federal Rural do Rio de Janeiro - UFRRJ)
1896081105635330;GRUPO DE PESQUISA E ESTUDOS EM FORRAGICULTURA - GRUPEF (Instituto Mantenedor de Ensino Superior da Bahia - IMES)
8928581274143150;Peptídeos: Síntese, Otimização e Estudos Aplicados - PeSEAp (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
2423016204641300;Ambiente, Saúde e Segurança (Instituto Federal Catarinense - IF-Catarinense)
3603640844958910;NEPEC em Rede (Universidade do Estado do Rio de Janeiro - UERJ)
0311550036508054;História Intelectual: narrativas, práticas e circulação de ideias (Universidade Federal de Minas Gerais - UFMG)
9222356462023100;LABCORPO - Laboratório do Corpo (Instituto Federal de Educação, Ciência e Tecnologia Baiano - IFBAIANO)
2246925314157900;Tecnologia de Filmes e Coberturas (Universidade Federal da Grande Dourados - UFGD)
7435429020196040;GMETTA: Grupo Multidisciplinar de Ergonomia do Trabalho e Tecnologias Aplicadas (Universidade Federal de Santa Catarina - UFSC)
3072262570138270;Mudanças climáticas e vulnerabilidade sócio-ambiental (Universidade Federal Rural do Rio de Janeiro - UFRRJ)
3879934242304200;Lexicografia Pedagógica (Universidade de Brasília - UnB)
6090251105174320;Farmácia Galenica e Biofarmácia (Universidade Federal de Pernambuco - UFPE)
8639269015581880;Acompanhamento terapêutico, saúde mental e envelhecimento (Centro Universitário do Triângulo - UNITRI)
6724143788625140;Composição e controle de qualidade de produtos apícolas (Universidade de São Paulo - USP)
7275193728394320;Grupo de Pesquisa em Avaliação, Psicologia Positiva e Saúde (Centro Universitário de Anápolis - UniEVANGELICA)
5258339545629740;ENERGIA (Faculdades Alves Faria - ALFA)
2649391996419250;Estrelas Jovens com Atividade (Laboratório Nacional de Astrofísica - LNA)
9296139010433070;Miastenia Gravis (Escola Superior de Ciências da Saúde - ESCS)
6331559150790700;Dermatites Alérgicas , inflamatórias e Fotobiologia (Faculdade de Ciências Médicas da Santa Casa de São Paulo - FCMSCSP)
9288811862719600;As mulheres como vítima e sujeito no mundo do crime (Universidade Federal de Mato Grosso - UFMT)
2010237329515080;Laboratório de Expressão Gênica em Eucariotos (Instituto Butantan - IBU)
3531989065485060;Política e Gestão Educacional (Universidade Estadual do Norte Fluminense Darcy Ribeiro - UENF)
6973546059263110;GRUPO INTERDISCIPLINAR DE PESQUISA AGROALIMENTAR (Instituto Federal de Alagoas - Matriz - IFAL)
8226918593142740;Agroindústria, alimentos e minimização de resíduos (Universidade Tecnológica Federal do Paraná - UTFPR)
5900557058576620;Corpo-Conexão: Estudos do Movimento Somático na Arte da Dança, na Educação e na Saúde (Universidade Federal de Pernambuco - UFPE)
4548358814560690;Arquitetura de depósitos fluviais antigos (Universidade Federal de Pernambuco - UFPE)
2797074465800150;Grupo de Pesquisas da Imagem Contemporânea - GPIC (Centro Universitário Senac - SENAC/SP)
6556820554312270;A Lógica na Teoria Geral do Direito Contemporânea (Universidade Federal do Espírito Santo - UFES)
8971061407696220;História da medicina e da saúde: espaços institucionais e atores (Fundação Oswaldo Cruz - FIOCRUZ)
6765092421987540;GÉFYRA- Grupo de Estudos e Pesquisas em Educação Especial (Universidade Federal de São Carlos - UFSCAR)
3658121515669960;Bactérias lacticas e probióticas (Instituto de Tecnologia de Alimentos - ITAL)
3561401558086170;Grupo de Tecnologia Mineral e Ambiental (Pontifícia Universidade Católica do Rio de Janeiro - PUC-Rio)
3225096091288290;PESQUISAS EM CONTABILIDADE E ÁREAS AFINS - UNEAL CAMPUS IV (Universidade Estadual de Alagoas - UNEAL)
3069472031385790;OS PADRÕES SEXUAIS EM ESTUDANTES DE MEDICINA NAS UNIVERSIDADES PRIVADAS DO ESTADO DE ALAGOAS - SOB O ASPECTO BIOÉTICO - (Universidade Federal de Alagoas - UFAL)
5151305783362010;Materiais e Técnicas de Remediação Ambiental (Universidade Federal de São Carlos - UFSCAR)
2317973373998650;Geografia, Ensino e Formação Docente (Universidade Estadual Vale do Acaraú - UVA-CE)
4910026331470230;Bioética (Universidade da Região de Joinville - UNIVILLE)
1184469271516940;Design e Tecnologia Assistiva (Centro Universitário Sagrado Coração - UNISAGRADO)
