code;prefLabel
3279082203126710;TURISMO, HOTELARIA E ALIMENTOS (Instituto Federal Fluminense - IFF)
2565679079674030;Grupo de Estudos e Pesquisas Sociologia e Filosofia da Educação (Universidade do Estado de Minas Gerais - UEMG)
8275703237520110;GeRedes - Grupo de Estudo sobre Redes Interorganizacionais (Universidade do Vale do Rio dos Sinos - UNISINOS)
9576567586661660;Ciências Ambientais - Desenvolvimento e Meio Ambiente (Universidade Federal do Piauí - UFPI)
6114318513370220;Fisioterapia Cardiovascular (Universidade Federal de São Paulo - UNIFESP)
7359406805468550;Ciência e tecnologia de alimentos (Universidade Federal do Acre - UFAC)
7033866808886080;GRUPELS - Grupo de Pesquisa em Língua(gem) e Sociedade (Universidade Federal de Juiz de Fora - UFJF)
8359467675618500;Poli(S)íntese: grupo transdisciplinar de estudos e pesquisas em educação e cidades (Faculdades Alfredo Nasser - UNIFAN)
8821524898612970;LGGM (Universidade Federal de Pernambuco - UFPE)
3165989799162560;Núcleo de Análises Forenses (NAF) (Universidade Federal do Rio de Janeiro - UFRJ)
5947605000811860;Mastozoologia (Fundação Zoobotânica do Rio Grande do Sul - FZB/RS)
7638591738838950;Grupo de Pesquisa José Carlos Mariátegui (Universidade do Estado de Minas Gerais - UEMG)
3395282367541510;Taxonomia dos grilos amazônicos (Universidade Federal de Pelotas - UFPEL)
0031115591575872;Gerenciamento de recursos humanos: conceitos, instrumentos e indicadores do processo de dimensionamento de pessoal (Universidade de São Paulo - USP)
2258924664585650;Informação, Sociedade e Meio Ambiente (GPINF) (Universidade Federal do Pará - UFPA)
3782416308697060;IGUALDADE, DIVERSIDADE, DEMOCRACIA E TRIBUTAÇÃO - IDDT (Universidade Católica de Brasília - UCB/DF)
7316276876760760;Estudo da corrosão em meios petrolíferos (Universidade Federal do Rio de Janeiro - UFRJ)
9862134516330690;CONHECIMENTO, INOVAÇÃO E DESENVOLVIMENTO - GECID (Universidade do Planalto Catarinense - UNIPLAC)
1099055665516430;NESP (Faculdade de Estudos Administrativos de Minas Gerais - FEAD)
2734284881501080;Vida associada: habitação coletiva e cidade (Universidade Presbiteriana Mackenzie - MACKENZIE)
3787435132586570;Grupo de pesquisa em Sustentabilidade, organizações e arranjos organizacionais. (Universidade Estadual do Oeste do Paraná - UNIOESTE)
8100235305576900;Paleoecologia e bioestratigrafia de bacias sedimentares amazônicas (Museu Paraense Emílio Goeldi - MPEG)
3045268912274270;Gestão da Biodiversidade (Universidade Federal da Integração Latino-Americana - UNILA)
2199964660451090;Humanização do Direito Penal (Universidade Iguaçu - UNIG)
1902867850104530;Grupo de Estudos e Pesquisas em Políticas Públicas, Avaliação e Qualidade - Geppaq (Universidade Cidade de São Paulo - UNICID)
8493772094725840;Bioma Cerrado (Universidade Nove de Julho - UNINOVE)
4524451254244560;Incubadora de gestores e lideranças educacionais (Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP)
5763000237650940;Mercúrio em Populações e no Ambiente Amazônico (Instituto Evandro Chagas - IEC)
4852125847051030;Responsabilidade Penal da Pessoa Jurídica em Crimes Tributários (Universidade Estadual de Maringá - UEM)
0660717291074479;AQUICULTURA,RECURSOS HIDRICOS E IMPACTOS AMBIENTAIS (Universidade Federal do Rio Grande do Sul - UFRGS)
4328502941596220;Neurociências e Cognição (Universidade Estadual de Ciências da Saúde de Alagoas - UNCISAL)
5939090722903080;Ciência e Tecnologia (Instituto Federal de Educação, Ciência e Tecnologia do Tocantins - IFTO)
2424136979479420;Conhecimento, currículo e formação humana (Universidade Estadual de Londrina - UEL)
3382946490548150;Geotecnia e materiais de construção civil (Universidade do Estado do Amazonas - UEA)
5995749126330750;Medicina Unifran (Universidade de Franca - UNIFRAN)
2835755930267750;GEPS - GRUPO DE ESTUDOS E PESQUISAS SOCIO-ETNO-LINGUÍSTICAS (Universidade Federal de Rondônia - UNIR)
9581663680258910;MAEE (Matriz de Apoio à Educação Especial) (Centro Universitário Augusto Motta - UNISUAM)
8635580856735980;Morfologia dos Artefatos e Sistemas de Comunicação (Universidade Federal de Campina Grande - UFCG)
4227486415622540;Teste - Andre - Tese (Universidade Federal de Minas Gerais - UFMG)
7829387861773010;Direito, Processo e Desenvolvimento (Universidade Federal Rural do Rio de Janeiro - UFRRJ)
3292791143073400;Núcleo de Pesquisa das Engenharias e Arquitetura - NEPEA (Universidade do Oeste Paulista - UNOESTE)
7919786517771650;Gestão de Serviços Financeiros (FUCAPE - FUCAPE)
0627020420480917;Repolarização Ventricular (Universidade de São Paulo - USP)
5179678386434840;NESH - Núcleo de Estudos em Segurança Hídrica (Universidade Federal do Rio Grande do Sul - UFRGS)
9177524816004920;As retóricas na história das ideias jurídicas no Brasil - continuidade e originalidade como problemas de um pensamento periférico (Faculdades Integradas de Vitória - FDV)
9451457333769350;GRUPO DE ESTUDOS, PESQUISA, EXTENSÃO DE FAMÍLIA E POLÍTICAS PUBLICAS (Universidade Federal de São Paulo - UNIFESP)
